entity,MeSH_ID
http://www.wikidata.org/entity/Q12638,D059066
http://www.wikidata.org/entity/Q27070,D000073568
http://www.wikidata.org/entity/Q21788,D000076667
http://www.wikidata.org/entity/Q27433,D000350
http://www.wikidata.org/entity/Q27394,D000353
http://www.wikidata.org/entity/Q425105,D000595
http://www.wikidata.org/entity/Q17153,D000681
http://www.wikidata.org/entity/Q27275,D001209
http://www.wikidata.org/entity/Q18676,D001303
http://www.wikidata.org/entity/Q25441,D003063
http://www.wikidata.org/entity/Q27205,D005337
http://www.wikidata.org/entity/Q16917,D006761
http://www.wikidata.org/entity/Q25276,D007554
http://www.wikidata.org/entity/Q23193,D007614
http://www.wikidata.org/entity/Q18097,D007723
http://www.wikidata.org/entity/Q19563,D008673
http://www.wikidata.org/entity/Q25227,D009427
http://www.wikidata.org/entity/Q18960,D011161
http://www.wikidata.org/entity/Q21109,D017004
http://www.wikidata.org/entity/Q25403,D029964
http://www.wikidata.org/entity/Q22691,D031965
http://www.wikidata.org/entity/Q26102,D035642
http://www.wikidata.org/entity/Q25265,D045989
http://www.wikidata.org/entity/Q25370,D046093
http://www.wikidata.org/entity/Q25368,D049872
http://www.wikidata.org/entity/Q23522,D063368
http://www.wikidata.org/entity/Q27133,D064028
http://www.wikidata.org/entity/Q132825,D064028
http://www.wikidata.org/entity/Q39918,D000068181
http://www.wikidata.org/entity/Q37453,D000068219
http://www.wikidata.org/entity/Q37756,D000497
http://www.wikidata.org/entity/Q31528,D001502
http://www.wikidata.org/entity/Q42177,D001513
http://www.wikidata.org/entity/Q29548,D002462
http://www.wikidata.org/entity/Q30869,D002466
http://www.wikidata.org/entity/Q37501,D005139
http://www.wikidata.org/entity/Q41323,D005538
http://www.wikidata.org/entity/Q41055,D005546
http://www.wikidata.org/entity/Q33767,D006225
http://www.wikidata.org/entity/Q43041,D006454
http://www.wikidata.org/entity/Q5958765,D006967
http://www.wikidata.org/entity/Q37425,D007717
http://www.wikidata.org/entity/Q36956,D007918
http://www.wikidata.org/entity/Q33741,D008030
http://www.wikidata.org/entity/Q32738,D008838
http://www.wikidata.org/entity/Q28747,D009249
http://www.wikidata.org/entity/Q29483,D010166
http://www.wikidata.org/entity/Q32385,D010759
